Identifiant,Nom_officiel,Adresse,Code_postal,Ville,Departement,Region,Coordonnees,Categorie,Domaine_thematique,Themes,Protection_batiment,Protection_espace,URL,Date_de_mise_a_jour
M1128,musée des sapeurs-pompiers de Lyon,358 avenue de Champagne,69009,Lyon,Rhône,Auvergne-Rhône-Alpes,"45.790491, 4.797411",Inconnu,Ethnologie;Histoire;Technique et industrie,"Armes, Uniformes, Véhicules pompiers, Archives papier, Photographie, Costume, Histoire, Industrie",Inconnu,Inconnu,museepompiers.com/,2025-07-25
M0001,musée de la Folie Marco,30 rue du docteur Sultzer,67140,Barr,Bas-Rhin,Grand Est,"48.410166, 7.451102",Musée de site,Arts décoratifs,"Arts décoratifs : Mobilier, Objets d'art",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084599,Abords d'un Monument historique. Site inscrit.,www.musee-foliemarco.com,2025-07-25
M0002,musée de La Poterie,2 rue de Kuhlendorf,67660,Betschdorf,Bas-Rhin,Grand Est,"48.900348, 7.914409",musée en milieu rural,Arts décoratifs;Technique et industrie;Ethnologie,Arts décoratifs : Céramique,Inconnu,Inconnu,www.betschdorf.com/vie-culturelle-et-associative/musee-de-la-poterie,2025-07-25
M0003,musée du Pays de Hanau - histoire et vies d’un territoire,3 place du château,67330,Bouxwiller,Bas-Rhin,Grand Est,"48.824977, 7.482915",écomusée ; musée en milieu rural,Archéologie;Ethnologie;Histoire;Sciences de la nature,"Art religieux (Art protestant);Arts décoratifs : Mobilier;Beaux-Arts : Peinture;Collections militaires : Armes, Uniformes, Armures;Autres collections : Fonds ancien d'imprimés, Numismatique, Philatélie;Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Biographie;Musique : Instruments;Sciences de la nature : Minéralogie, Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084643,Inconnu,www.museedupaysdehanau.eu,2025-07-25
M0004,musée alsacien,1 place Joseph Thierry,67500,Haguenau,Bas-Rhin,Grand Est,"48.814611, 7.789527",Inconnu,Ethnologie;Histoire;Technique et industrie,"Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils",Inconnu,Abords d'un Monument historique.,www.ville-haguenau.fr/musee-alsacien,2025-07-25
M0005,musée historique,9 rue du maréchal Foch,67500,Haguenau,Bas-Rhin,Grand Est,"48.812831, 7.791481",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Histoire;Photographie,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Arts décoratifs : Céramique, Orfèvrerie;Autres collections : Fonds ancien d'imprimés, Numismatique, Plans, Sigillographie;Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale",Inconnu,Inconnu,www.ville-haguenau.fr/musee-historique,2024-02-07
M0006,musée de la chartreuse,4 cour des Chartreux,67120,Molsheim,Bas-Rhin,Grand Est,"48.54278, 7.49023",Inconnu,Archéologie;Histoire,"Archéologie nationale : Préhistoire, Protohistoire, Paléo-chrétien;Art religieux;Ethnologie : Métiers et Outils;Histoire : Histoire religieuse",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084796?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22chartreuse%22&ou=%5B%22Molsheim%22%5D&last_view=%22list%22&idQuery=%220c24a-824-4a8-53be-0c55ff26f8%22,Abords d'un Monument historique.,www.chartreuse-molsheim.info,2024-01-25
M0008,maison de l'archéologie des Vosges du Nord,44 avenue Foch,67110,Niederbronn-Les-Bains,Bas-Rhin,Grand Est,"48.947444, 7.650428",musée en milieu rural,Archéologie;Technique et industrie,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval, Moderne;Sciences et techniques : Industrie (Cordrie, fourneau De Dietrich),",Inconnu,Inconnu,www.niederbronn-les-bains.fr/culture-et-loisirs/maison-de-l-archeologie.html,2025-04-11
M0010,musée de l'Image Populaire,24 rue du docteur Albert Schweitzer,67350,Val-de-Moder,Bas-Rhin,Grand Est,"48.844834, 7.611365",Inconnu,Beaux-arts;Ethnologie,"Art religieux;Arts décoratifs : Textiles (images réalisées au point de croix);Beaux-Arts : Peinture (ex voto);Collections militaires (numéros de conscription et souvenirs de régiment.), Uniformes, Armures;Autres collections : Manuscrits, incunables;Ethnologie (imagerie en bois gravée.)",Inconnu,Inconnu,www.commune-valdemoder.fr/culture-loisirs/musee-de-l-image-populaire,2025-07-29
M0011,musée historique et industriel - musée du fer,9 rue Jeanne d'Arc,67110,Reichshoffen,Bas-Rhin,Grand Est,"48.932234, 7.664814",Inconnu,Archéologie;Histoire;Technique et industrie,Histoire : Histoire locale et régionale;Sciences et techniques : Industrie (Sidérurgie),Inconnu,Site patrimonial remarquable. Abords d'un Monument historique.,www.reichshoffen.fr/Le-Musee-Historique-et-Industriel.html,2024-01-25
