Région,Nombre_musées,Pourcentage,Diversité_catégories,Diversité_thématique,Patrimoine_protégé,Catégorie_offre
Auvergne-Rhône-Alpes,135,11.04746317512275,,,135,Moyenne
Île-de-France,134,10.965630114566286,,,134,Moyenne
Occitanie,132,10.801963993453354,,,132,Moyenne
Grand Est,121,9.901800327332243,,,121,Moyenne
Provence-Alpes-Côte d'Azur,118,9.656301145662848,,,118,Moyenne
Nouvelle-Aquitaine,114,9.328968903436989,,,114,Moyenne
Bourgogne-Franche-Comté,102,8.346972176759412,,,102,Moyenne
Normandie,90,7.3649754500818325,,,90,Moyenne
Hauts-de-France,89,7.283142389525368,,,89,Moyenne
Centre-Val de Loire,64,5.237315875613748,,,64,Faible
Pays de la Loire,54,4.4189852700491,,,54,Faible
Bretagne,36,2.9459901800327333,,,36,Faible
Drom,21,1.718494271685761,,,21,Très faible
Corse,10,0.8183306055646482,,,10,Très faible
Com,1,0.08183306055646482,,,1,Très faible
Provence-Alpes-Côte-D’Azur,1,0.08183306055646482,,,1,Très faible
