Identifiant (ID),Nom de l'organisme,Code postal,Département,Commune,Lien vers la ressource,"si ""enfants"", merci de préciser le niveau scolaire",Titre de la ressource,"Activité proposée (apprendre, se divertir, s’informer,...)",Public cible,Types de ressources proposées,Thématiques,Contenus adaptés aux types de handicap,"Temps d’activité estimé (lecture, écoute, visionnage, jeu)",Pérennité de la ressource
859,Institut national d’histoire de l’art (INHA),75001,75,Paris,https://bibliotheque-numerique.inha.fr/,,Bibliothèque numérique,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Histoire,Musées,Peinture,Sculpture",,Le temps d’une soirée,Accès permanent
1211,Université Paris sciences et lettres,75001,75,Paris,https://explore.psl.eu/fr/decouvrir/expositions-virtuelles,,Exposition virtuelles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Histoire,Sciences",,Le temps d’un vrai déjeuner,Accès permanent
1284,Art Kids Company,75001,75,Paris,https://www.artkidscompany.com/mon-atelier-a-la-maison/,Maternelle|Primaire,Mon Atelier à la Maison,Partager ses passions,Enfants,"Ressources pédagogiques,Création et pratiques artistiques","Art urbain (graph, hip hop, street art…),Arts décoratifs, design, métiers d’art,Arts visuels,Éducation artistique et culturelle",,Le temps d’un vrai déjeuner,Accès permanent
1494,APARR - Association des professionnels du cinéma et de l'audiovisuel de Bourgogne-Franche-Comté,21000,21,Dijon,https://www.docsicicourtsla.com/,,"Docs ici, Courts là","Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Audiovisuel,Cinéma",,Toute une vie ne suffit pas,Accès permanent
1823,Fonds régional d'art contemporain - Centre-Val de Loire,45000,45,Orléans,https://www.frac-centre.fr/ressources/entretiens-53.html,,Le Frac Centre en ligne,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Arts numériques,Arts visuels",Sous-titrage,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2296,Maison des Cultures du Monde - CFPCI,35500,35,Vitré,https://www.ressources-mcm.com/,,Portail numérique Ibn Ba????a,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Ressources pédagogiques,Images, collections numérisées, bases de données","Danse,Musique, concerts et opéras,Théâtre, Spectacles",,Toute une vie ne suffit pas,Accès permanent
2379,Centre des arts,95880,95,Enghien Les Bains,https://www.youtube.com/channel/UCMUbLK98OgtNmi9-DE-VX0Q/featured,,Ciné club Charlotte Garson,Approfondir ses connaissances,Parents / Éducateurs,"Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels","Cinéma,Éducation artistique et culturelle",,Le temps d’une soirée,Accès permanent
2399,France Télévisions,75001,75,Paris,https://www.francetvinfo.fr/replay-magazine/franceinfo/vrai-ou-fake-l-emission/,,"Vrai ou Fake, l'émission","Actualités, débats",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps d’un vrai déjeuner,Accès permanent
2470,Ville de Lille,59000,59,Lille,https://lilleenjeux.yunow.app/1414-lille-en-jeux/4225-lille-en-jeux-collection-hiver,,Lille en jeux,Jeux,Enfants,Jeux,Architecture et patrimoine,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2669,Festival Faits d'hiver,75004,75,PARIS,https://www.faitsdhiver.com/,,Festival Faits d'hiver 2022,"Concerts, spectacles",Tous publics,Création et pratiques artistiques,Danse,Langue des signes française (LSF),Toute une vie ne suffit pas,Accès permanent
