Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Festival occitan Camins de Crabas;Occitanie;Tarn;81120;2001;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_81222_5299;43.7799765873, 2.19017910647
Festival de musique de Richelieu;Centre-Val de Loire;Indre-et-Loire;37120;2007;Musique;Saison (21 juin - 5 septembre);FEST_37196_5436;47.0143945569, 0.315628916983
Festi'Bruant;Hauts-de-France;Nord;59790;2005;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_59507_5490;50.6044738955, 3.09168585537
Les nocturnes du vendredi;Auvergne-Rhône-Alpes;Haute-Savoie;74200;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_74281_6565;46.3704258049, 6.48194336071
Médiévalivres;Normandie;Manche;50180;2018;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_50002_19;49.1154902114, -1.12991373053
Festival de l'anche;Provence-Alpes-Côte d'Azur;Var;83400;;Musique;Avant-saison (1er janvier - 20 juin);FEST_83069_2601;43.1018713534, 6.18898508469
Festival d'Artagnan;Occitanie;Gers;32290;2012;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_32219_3493;43.6880530746, 0.187356485668
Good Rockin' Tonight;Auvergne-Rhône-Alpes;Ain;1340;2003;Musique;Avant-saison (1er janvier - 20 juin);FEST_01024_402;46.2861802203, 5.1795233845
Opus opéra;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6500;;Musique;Saison (21 juin - 5 septembre);FEST_06064_2367;43.7652195423, 7.16877468184
Musicales Guil-Durance;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5600;1990;Musique;Saison (21 juin - 5 septembre);FEST_05065_2528;44.6680987436, 6.7010158705
Les Nuits d'Eole;Grand Est;Moselle;57950;01/01/1998 00:00;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_57480_4046;49.0953199106, 6.15452599506
American Jazz Festiv'Halles;Île-de-France;Paris;75001;01/01/2006 00:00;Musique;Saison (21 juin - 5 septembre);FEST_75101_4615;48.8626304852, 2.33629344655
Celtomania;Pays de la Loire;Loire-Atlantique;44162;1989;Musique;Après-saison (6 septembre - 31 décembre);FEST_44162_5896;47.2243762412, -1.63434818692
Bulles électriques;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13190;2016;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_13002_153;43.3533145712, 5.51134767187
Festival d'été : Briançon sous les étoiles;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5100;2021;Musique;Saison (21 juin - 5 septembre);FEST_05023_1067;44.8994986041, 6.64947524018
Rencontres des cinémas d'amérique latine et des caraïbes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6400;2017;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_06029_1231;43.5526202843, 7.00427592728
ll était une voix;Auvergne-Rhône-Alpes;Allier;3110;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_03110_2133;46.1292798016, 3.33501762138
Coméd’istres;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13800;1998;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_13047_2637;43.5502689105, 4.9511813524
Saint Mandé Classic Jazz Festival;Île-de-France;Val-de-Marne;94160;01/01/2018 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_94067_6015;48.842440243, 2.4192191088
Festival des vents;Provence-Alpes-Côte d'Azur;Vaucluse;84310;2002;Musique;Saison (21 juin - 5 septembre);FEST_84081_4171;43.9337788848, 4.90875878315
Les zaccros d'ma rue;Bourgogne-Franche-Comté;Nièvre;58000;2000;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_58194_4372;46.9881194908, 3.15689130958
