;Identifiant Muséofile;Région administrative;Département;Commune;Nom officiel du musée;Code Postal;URL;Latitude;Longitude
0;M0967;Auvergne-Rhône-Alpes;Ain;Lochieu;musée du Bugey-Valromey;1260.0;patrimoines.ain.fr/n/musee-du-bugey-valromey/n:970;45,930633;5,727664
1;M0964;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;musées des pays de l'Ain;1000.0;www.ain.fr/solutions-services-infos-pratiques/culture-patrimoine/visiter-musees/;46,196543;5,219217
2;M0965;Auvergne-Rhône-Alpes;Ain;Briord;musée de la société d'histoire et d'archéologie;1470.0;patrimoines.ain.fr/n/musee-d-archeologie-de-briord/n:1165;45,781653;5,458569
3;M0971;Auvergne-Rhône-Alpes;Ain;Pont-de-Vaux;musée Chintreuil;1190.0;www.musee-chintreuil.com/;46,430076;4,938125
5;M0966;Auvergne-Rhône-Alpes;Ain;Izernore;musée archéologique;1580.0;www.archeologie-izernore.com/pages/musee_historique.htm;46,219853;5,555588
6;M0968;Auvergne-Rhône-Alpes;Ain;Nantua;musée de la résistance et de la déportation de l'Ain;1130.0;patrimoines.ain.fr/n/musee-de-la-resistance-et-de-la-deportation/n:809;46,152378;5,608744
8;M0973;Auvergne-Rhône-Alpes;Ain;Saint-Paul-de-Varax;musée Louis Jourdan;1240.0;www.mairie-saintpauldevarax.fr/fr/information/35728/musee-louis-jourdan;46,098973;5,129264
9;M0975;Auvergne-Rhône-Alpes;Ain;Treffort-Cuisiat;musée du Revermont;1000.0;patrimoines.ain.fr/n/musee-du-revermont/n:811;46,209952;5,243955
10;M1082;Auvergne-Rhône-Alpes;Ain;Villars-les-Dombes;musée de la Dombes;1330.0;www.museedeladombes.fr/;46,005784;5,032151
11;M0963;Auvergne-Rhône-Alpes;Ain;Bourg-en-Bresse;musée de Brou;1000.0;www.monastere-de-brou.fr/#;46,196549;5,236521
12;M0969;Auvergne-Rhône-Alpes;Ain;Oyonnax;musée du peigne et de la plasturgie;10100.0;www.oyonnax.fr/mes-loisirs/culture/musee-du-peigne-et-de-la-plasturgie/;46,26101938;5,648075547
13;M0972;Auvergne-Rhône-Alpes;Ain;Saint-Cyr-sur-Menthon;musée de la Bresse - domaine des Planons;1380.0;patrimoines.ain.fr/n/domaine-des-saveurs-les-planons/n:810;46,282489;4,986729
14;M0109;Auvergne-Rhône-Alpes;Allier;Vichy;musée des arts africains et asiatiques (maison du missionnaire);3200.0;musee-aaa.com/;46,128104;3,419803
15;M0108;Auvergne-Rhône-Alpes;Allier;Souvigny;musée Saint-Marc;3210.0;www.ville-souvigny.com/Musee/index.html;46,534866;3,192356
16;M0101;Auvergne-Rhône-Alpes;Allier;Beaulon;musée rural de la Sologne bourbonnaise;3470.0;association-csb.fr/musee/;46,466871;3,748142
17;M0103;Auvergne-Rhône-Alpes;Allier;Gannat;musée municipal;3800.0;www.ville-gannat.fr/-Musee-.html;46,10177624;3,196513714
18;M0104;Auvergne-Rhône-Alpes;Allier;Montluçon;musée des musiques populaires (vieux château);3100.0;www.mupop.fr/;46,341009;2,605724
19;M0102;Auvergne-Rhône-Alpes;Allier;Cérilly;musée Charles-Louis Philippe;3350.0;musees-bourbonnais.fr/musees/maison-musee-charles-louis-philippe/;46,617913;2,823245
20;M0106;Auvergne-Rhône-Alpes;Allier;Moulins;musée Anne de Beaujeu;3000.0;musees.allier.fr/410-presentation.htm;46,56707;3,331218
21;M0107;Auvergne-Rhône-Alpes;Allier;Néris-les-Bains;musée gallo-romain;3310.0;www.ot-neris-les-bains.fr/decouvrir/au-fil-du-temps/musee-gallo-romain/;46,287552;2,662598
22;M5083;Auvergne-Rhône-Alpes;Allier;Moulins-sur-Allier;Centre national du costume de scène et de la scénographie;3000.0;www.cncs.fr/;46,560973;3,335798
23;M0979;Auvergne-Rhône-Alpes;Ardèche;Serrières;musée de la batellerie du Rhône;7340.0;www.serrieres.fr/Musee-des-Mariniers-et-de-la;45,317802;4,763253
25;M0978;Auvergne-Rhône-Alpes;Ardèche;Orgnac-l'Aven;Cité de préhistoire;7150.0;www.orgnac.com/;44,310413;4,425665
26;M0981;Auvergne-Rhône-Alpes;Ardèche;Tournon-sur-Rhône;musée du Rhône;7300.0;www.chateaumusee-tournon.com/;45,067938;4,831838
27;M0976;Auvergne-Rhône-Alpes;Ardèche;Annonay;musée vivarois César Filhol;7100.0;www.mairie-annonay.fr/Musee-Cesar-Filhol.html;45,240803;4,668129
28;M0980;Auvergne-Rhône-Alpes;Ardèche;Soyons;musée archéologique;7130.0;www.grottes-musee-soyons.fr/;44,887803;4,850777
29;M0977;Auvergne-Rhône-Alpes;Ardèche;Les Vans;musée régional;7140.0;www.les-vans.fr/vivre-ici/structures-culturelles/musee/;44,404332;4,131418
30;M1174;Auvergne-Rhône-Alpes;Ardèche;Alba-la-Romaine;muséAL musée départemental archéologique;7400.0;www.museal.ardeche.fr/;44,561507;4,592008
31;M0114;Auvergne-Rhône-Alpes;Cantal;Saint-Flour;musée Alfred Douët;15100.0;www.saint-flour.net/sortir/musee-art-et-histoire-alfred-douet/;45,034016;3,095067
