;nom_region;Total Homme;Total Femme;Total;code_region
0;Auvergne-Rhône-Alpes;4012350;4223573;8235923;1008
1;Bourgogne-Franche-Comté;1362040;1429679;2791719;216
2;Bretagne;1682034;1770989;3453023;212
3;Centre-Val de Loire;1251595;1321700;2573295;144
4;Corse;172277;183251;355528;188
5;Grand Est;2718206;2850505;5568711;440
6;Hauts-de-France;2901724;3082099;5983823;160
7;Normandie;1612697;1714380;3327077;140
8;Nouvelle-Aquitaine;2966799;3187973;6154772;900
9;Occitanie;2976720;3178009;6154729;988
10;Pays de la Loire;1917615;2008774;3926389;260
11;Provence-Alpes-Côte d'Azur;2486073;2711938;5198011;558
12;Territoires et départements d'outre-mer;1049090;1181382;2230472;16
13;Île-de-France;6008525;6411436;12419961;88
